Data scrapping of Times Square Restaurants,neg,neu,pos,compound,sentiment_label
"I have been here before and the food is good, however I prefer to be treated in a kinder fashion. Ill take my money and my friends down the street.
The Counter
AmericanVegetarian FriendlyVegan Options
4.5
921. We had dinner at The Counter around 5:30pm on a Monday evening. The restaurant wasn't crowded, we were seated right away, and the server was friendly and attentive. They had a nice selection of burgers on the menu, as well as a ""build your own"" option which had a wide range of choices. The staff was all wearing shirts with the slogan ""a burger for every lifestyle"" and that certainly seemed to be the case, as they have beef, turkey, vegetarian and vegan options. We both built our own burgers, and ordered a side of sweet potato fries. The food was ready quickly and tasted fantastic. We had a great experience here and would definitely go back again!



922. Our planned restaurant was full so we decided to try this one as it was quiet.",0.015,0.795,0.19,0.985,Very Positive
"The food was quite good and service was fine however they were dearer than other places and I'm not sure it was worth the extra. Decidedly average with high prices.



923. Burgers were pretty good. Service was awful. Never brought our drinks (her only job since you write your own burger order down). When our food arrived we had to ask the food runner for our drinks. Waitress drops off drinks without a sorry or anything. Note: restaurant was maybe 30% full. Never saw her again till time for the bill.",0.048,0.784,0.168,0.8872,Very Positive
Bill comes and she has given herself an automatic 20% gratuity (on a two top). So I see why she had absolutely no,0.111,0.889,0.0,-0.3597,Slightly Negative
Food: Tried both the Carbonade Flamande (beef stew) and the Stoemp & Chipolata (sausage plate). Both were very good. Would have been nice to have some greens on the plates.,0.0,0.818,0.182,0.7178,Positive
"Service: Decent service, nice folks",0.0,0.588,0.412,0.4215,Slightly Positive
Ambiance: small European pub,0.0,1.0,0.0,0.0,Neutral
"Overall cleanliness: average



963. Great selection of beers. However, I thought the food (even the carbonade and the mussels) was a weak imitation of real Belgian cuisine. Very noisy in the bar area toward the front, but it's somewhat quieter toward the rear.



964. While it's branding itself as a Belgian meal and pub experience, we were just here for a beer later on in the evening. The bar itself is more or less typical Manhattan; long and narrow, and relatively small. Even late in the evening there were people ordering food, but we stuck to the beer, and had a fine experience.



965. My wife and I went for a late dinner (after seeing a taping of the Late Show). Full disclosure, we lived in Antwerp for 3 years, so we know our Belgian food and beer.",0.044,0.921,0.035,-0.0507,Slightly Negative
"Tons of great Belgian beer options; my wife had a Kriek and I had a Leffe. We both had mussels and fries; mine were Thailandese and hers were traditional Marinieres. We both got a HUGE pot and a lot of fries. The food was delicious. Server (Paul) was fast and friendly.



966. We went for a Monday night special of bottomless mussels with complimentary beers.",0.0,0.737,0.263,0.9578,Very Positive
There were a choice of traditional and cosmopolitan broths that the mussels were served in.,0.0,1.0,0.0,0.0,Neutral
"The mussels were world class dish (having eaten this specialty seafood dish in Paris, London and Australia)",0.0,1.0,0.0,0.0,Neutral
Bottomless meant we could try out a couple of different broths for fun.,0.0,0.769,0.231,0.5106,Positive
There were loads of warm bread and butter to complement the dish.,0.0,0.853,0.147,0.2263,Slightly Positive
"There is a timeless, Belgium Pub ambience in the decor and with Portraits of former Kings of Belgium.",0.0,1.0,0.0,0.0,Neutral
It is World FA Cup Final time so Guests both young and old could watch the latest Games on TV screens that did not detract from the dining experience as though accessible to watch were unobtrusive for those wishing just to dine and chat.,0.0,0.958,0.042,0.2263,Slightly Positive
